name,comparison_1,comparison_2,comparison_3,similarity_score_1,similarity_score_2,similarity_score_3
Cooper Flagg,Otto Porter,Frank Kaminsky,Sindarius Thornwell,38.6,36.7,35.0
Dylan Harper,Markelle Fultz,Jaden Ivey,Reggie Jackson,80.9,80.0,78.2
V.J. Edgecombe,Gary Harris,Josh Richardson,Dion Waiters,74.4,64.8,65.9
Kon Knueppel,Luke Kennard,Jared McCain,Tyler Herro,74.2,73.0,72.8
Ace Bailey,Taurean Prince,Justin Lewis,Shabazz Muhammad,56.1,52.1,53.5
Tre Johnson,Jeremy Lamb,Malik Monk,Allen Crabbe,69.4,72.2,69.6
Jeremiah Fears,Collin Sexton,Isaiah Collier,Brandon Knight,62.7,64.3,64.3
Egor Demin,Jordan Hall,Josh Giddey,Dalano Banton,62.9,60.7,59.6
Collin Murray-Boyles,Kyle Filipowski,DaRon Holmes II,P.J. Washington,64.5,57.1,57.8
Khaman Maluach,Jaxson Hayes,Justin Patton,Donovan Clingan,30.5,0.0,0.0
Cedric Coward,Derrick White,Reggie Jackson,Corey Kispert,35.4,38.1,40.3
Noa Essengue,Isaac Okoro,Bilal Coulibaly,Andrew Wiggins,70.5,72.4,65.0
Derik Queen,Greg Monroe,Derrick Caracter,Diamond Stone,52.6,55.0,56.5
Carter Bryant,Keshad Johnson,Jeremy Sochan,Usman Garuba,50.7,53.3,54.5
Thomas Sorber,Jeremy Tyler,Montrezl Harrell,James Johnson,68.2,65.9,67.1
Hansen Yang,Greg Monroe,Andrew Bogut,Thomas Bryant,64.2,64.3,65.6
Joan Beringer,Jeremy Evans,Josh Harrellson,Clint Capela,39.9,39.3,40.9
Walter Clayton Jr.,KJ Simpson,Derrick White,Baylor Scheierman,63.9,67.2,55.2
Nolan Traore,Scoot Henderson,Theo Maledon,LaMelo Ball,80.3,76.1,68.4
Kasparas Jakucionis,Nikola Djurisic,Wade Baldwin IV,Coby White,57.0,51.9,53.7
Will Riley,Jett Howard,James Young,Malaki Branham,67.3,69.6,67.5
Drake Powell,Zach LaVine,Lonnie Walker,Frank Jackson,47.7,50.1,50.2
Asa Newell,Sam Dekker,Kel'el Ware,Darius Bazley,66.5,54.8,52.1
Nique Clifford,Josh Hart,Baylor Scheierman,Derrick White,79.1,80.1,75.9
Jase Richardson,Luke Kennard,Devin Vassell,Tyler Herro,56.0,58.2,59.7
Ben Saraf,Leandro Bolmaro,Yam Madar,Theo Maledon,79.4,79.3,78.6
Danny Wolf,Earl Clark,Greg Monroe,Josh McRoberts,43.3,39.4,41.0
Hugo González,Usman Garuba,Tarik Biberovic,Luke Travers,77.2,78.8,77.9
Liam McNeeley,Ja'Kobe Walter,Tim Hardaway Jr.,Carlton Carrington,59.6,54.2,56.0
Yanic Konan Niederhauser,Adem Bona,Isaac Jones,Damian Jones,52.4,55.5,52.3
Rasheer Fleming,Kel'el Ware,Tyler Lydon,Zhou Qi,44.8,40.7,40.8
Noah Penda,Luke Travers,RJ Hampton,Usman Garuba,78.1,75.2,76.3
Sion James,Pelle Larsson,Keshad Johnson,Grayson Allen,76.4,50.5,41.0
Ryan Kalkbrenner,N'Faly Dante,Jakob Poeltl,Adama Sanogo,49.6,44.8,44.4
Johni Broome,Orlando Robinson,Trayce Jackson-Davis,Mike Muscala,40.6,40.0,37.6
Adou Thiero,P.J. Washington,DeMarre Carroll,Quincy Pondexter,70.5,70.6,70.1
Chaz Lanier,Ochai Agbaji,Rodney Carney,Tyler Dorsey,76.2,77.2,65.0
Kam Jones,Ty Jerome,Jerian Grant,E'Twaun Moore,55.3,55.9,53.0
Alijah Martin,Wayne Ellington,Luther Head,Donte DiVincenzo,76.2,71.1,71.9
Micah Peavy,D.J. Strawberry,Michael Gbinije,Derrick Byars,82.0,79.9,73.7
Koby Brea,Sviatoslav Mykhailiuk,Trey Murphy III,Jaylen Wells,33.6,38.4,40.6
Maxime Raynaud,Kevin Hervey,Adreian Payne,Ben Bentil,70.4,72.6,72.7
Jamir Watkins,Dwayne Bacon,Jalen Wilson,Kevin McCullar,70.5,72.0,71.6
Brooks Barnhizer,Herbert Jones,Bernard Robinson,Kevin McCullar,72.3,72.7,72.3
Rocco Zikarsky,LaMarcus Aldridge,Thomas Bryant,Paul Eboua,31.4,29.7,31.6
Amari Williams,Ben Simmons,Jason Thompson,Royce White,54.9,58.6,58.0
