name,pre-draft_team,Actual Draft Position,position,draft_age,PTS,REB,AST,BLK,STL,FG%,3P%,predicted_peak_darko,Model Position,Difference,Consensus_Big_Board_Rank
Cooper Flagg,Duke,1.0,SF/PF,18.50 yrs,19.2,7.5,4.2,1.4,1.4,48.1,38.5,2.29,1,-,1
Kon Knueppel,Duke,4.0,SG/SF,19.88 yrs,14.4,4.0,2.7,0.2,1.0,47.9,40.6,1.16,2,+2,4
Collin Murray-Boyles,South Carolina,9.0,PF,20.03 yrs,16.8,8.3,2.4,1.3,1.5,58.6,26.5,1.09,3,+6,11
V.J. Edgecombe,Baylor,3.0,SG,19.89 yrs,15.0,5.6,3.2,0.6,2.1,43.6,34.0,0.99,4,-1,3
Khaman Maluach,Duke,10.0,C,18.76 yrs,8.6,6.6,0.5,1.3,0.2,71.2,25.0,0.87,5,+5,8
Thomas Sorber,Georgetown,15.0,PF/C,19.48 yrs,14.5,8.5,2.4,2.0,1.5,53.2,16.2,0.83,6,+9,17
Dylan Harper,Rutgers,2.0,PG/SG,19.30 yrs,19.4,4.6,4.0,0.6,1.4,48.4,33.300000000000004,0.38,7,-5,2
Adou Thiero,Arkansas,36.0,SF/PF,21.12 yrs,15.1,5.8,1.9,0.7,1.6,54.50000000000001,25.6,0.31,8,+28,33
Jase Richardson,Michigan State,25.0,SG/PG,19.68 yrs,12.1,3.3,1.9,0.3,0.8,49.3,41.2,0.22,9,+16,25
Chucky Hepburn,Louisville,,PG,22.36 yrs,16.4,3.5,5.8,0.1,2.4,43.2,32.800000000000004,0.21,10,,64
Noa Essengue,,12.0,SF/PF,18.50 yrs,10.7,5.0,1.2,0.5,0.9,52.1,27.6,0.18,11,+1,9
Asa Newell,Georgia,23.0,PF,19.71 yrs,15.4,6.9,0.9,1.0,1.0,54.3,29.2,0.17,12,+11,18
Rasheer Fleming,Saint Joseph's,31.0,PF,20.95 yrs,14.7,8.5,1.3,1.5,1.4,53.1,39.0,0.04,13,+18,27
Hansen Yang,,16.0,C,19.98 yrs,16.2,10.0,2.8,2.7,0.9,59.5,28.6,0.01,14,+2,34
Cedric Coward,Washington State,11.0,SG/SF,21.77 yrs,17.7,7.0,3.7,1.7,0.8,55.7,40.0,-0.07,15,-4,15
Will Richard,Florida,56.0,SG,22.49 yrs,13.3,4.6,1.9,0.3,1.7,48.7,35.9,-0.13,16,+40,67
Jeremiah Fears,Oklahoma,7.0,PG,18.68 yrs,17.1,4.1,4.1,0.1,1.6,43.4,28.4,-0.16,17,-10,6
Joan Beringer,,17.0,C,18.61 yrs,5.4,4.9,0.5,1.4,0.5,64.4,0.0,-0.24,18,-1,16
Ben Saraf,,26.0,PG/SG,19.18 yrs,12.0,2.8,4.1,0.3,1.1,44.4,29.0,-0.24,18,+8,32
Javon Small,West Virginia,48.0,PG,22.50 yrs,18.6,4.1,5.6,0.3,1.5,41.8,35.3,-0.24,18,+30,47
Bogoljub Marković,,47.0,PF,19.94 yrs,13.9,6.9,2.6,0.9,0.8,54.6,38.8,-0.26,21,+26,38
Alijah Martin,Florida,39.0,SG,23.48 yrs,14.4,4.5,2.2,0.2,1.5,45.2,35.0,-0.34,22,+17,48
Kasparas Jakucionis,Illinois,20.0,PG/SG,19.06 yrs,15.0,5.7,4.7,0.3,0.9,44.0,31.8,-0.36,23,-3,12
Danny Wolf,Michigan,27.0,PF/C,21.13 yrs,13.2,9.7,3.6,1.4,0.7,49.7,33.6,-0.36,23,+4,19
Derik Queen,Maryland,13.0,C,20.48 yrs,16.5,9.0,1.9,1.1,1.1,52.6,20.0,-0.37,25,-12,13
