3/4_sprint,3p%,3pa_rate,3pm-3pa,ast,ast/to,ast/usg,birth_date,blk,bpm,dbpm,draft_age,draft_position,draft_year,drtg,dws/40,effective_fg%,fg%,fgm-fga,ft%,fta_rate,ftm-fta,g,height,high_school,home_town,lane_agility,max_vertical,mp,name,nation,obpm,ortg,ows/40,per,pf,position,pre-draft_team,proj_nba_3p%,pts,reb,school_year,shuttle,standing_reach,stl,title,to,true_shooting_%,url,usg%,weight,wingspan,ws/40
,.237,.142,0.5-2.3,1.6,0.49,,"Jan 16, 1982",0.9,,,22.41 yrs,40th,2004,,,.481,.464,7.4-15.9,.731,.385,4.5-6.1,28,"6'7""",Provine High School,"Jackson, MS",,,36.0,Justin Reed,USA,,,,,3.3,SF,Ole Miss,.327,19.8,8.0,Senior,,,0.7,Justin Reed 2004 Draft Profile | Tankathon,3.2,.525,https://tankathon.com/players/justin-reed,,240 lbs,,
3.6,,,,,,,"May 23, 1985",,,,19.06 yrs,32nd,2004,,,,,,,,,,"7'3.25"" (7'5.5"" wingspan)",Colegio Bautista de Caguas,"Caguas, Puerto Rico",12.61,"26.5""",,Peter John Ramos,Puerto Rico,,,,,,C,,,,,International,,"9'3.5""",,Peter John Ramos 2004 Draft Profile | Tankathon,,,https://tankathon.com/players/peter-john-ramos,,266 lbs,"7'5.5""",
3.19,.297,.183,0.7-2.4,3.5,1.11,,"Jan 11, 1982",1.0,,,22.42 yrs,25th,2004,,,.531,.504,6.6-13.2,.675,.479,4.3-6.3,35,"6'4.25"" (6'9"" wingspan)",Crane High School,"Chicago, IL",10.7,"36.5""",36.0,Tony Allen,USA,,,,,3.4,SG,Oklahoma State,.325,18.2,6.3,Senior,,"8'6""",2.3,Tony Allen 2004 Draft Profile | Tankathon,3.2,.564,https://tankathon.com/players/tony-allen,,214 lbs,"6'9""",
,,,,,,,"Aug 4, 1985",,,,18.86 yrs,46th,2004,,,,,,,,,,"7'3""",Samil Commercial,"Suwon, South Korea",,,,Ha Seung-Jin,South Korea,,,,,,C,,,,,International,,,,Ha Seung-Jin 2004 Draft Profile | Tankathon,,,https://tankathon.com/players/ha-seung-jin,,305 lbs,,
3.25,.356,.390,2.3-6.4,1.1,0.88,0.23,"Oct 2, 1981",0.8,,,22.70 yrs,53rd,2004,,.077,.484,.415,6.8-16.3,.788,.498,6.4-8.1,33,"6'9.5"" (7'1"" wingspan)",Shawnee Mission West High School,"Overland Park, KS",11.15,"31.0""",36.0,Matt Freije,USA,,,.110,,1.9,PF,Vanderbilt,.369,22.2,6.5,Senior,,"9'0.5""",0.8,Matt Freije 2004 Draft Profile | Tankathon,1.2,.550,https://tankathon.com/players/matt-freije,30.2,234 lbs,"7'1""",.187
3.19,.373,.488,2.3-6.2,4.4,2.14,1.04,"Feb 27, 1983",0.1,,,21.30 yrs,5th,2004,,.103,.550,.459,5.9-12.8,.792,.524,5.3-6.7,32,"6'3"" (6'7.5"" wingspan)",Wauwatosa East High School,"Milwaukee, WI",11.03,"37.0""",36.0,Devin Harris,USA,,,.165,,1.9,PG,Wisconsin,.371,19.3,4.3,Junior,,"8'2.5""",1.7,Devin Harris 2004 Draft Profile | Tankathon,2.0,.606,https://tankathon.com/players/devin-harris,27.6,170 lbs,"6'7.5""",.269
3.14,.390,.379,2.4-6.2,5.6,1.87,,"Feb 9, 1982",0.0,,,22.35 yrs,20th,2004,,,.549,.475,7.8-16.4,.792,.302,3.9-4.9,32,"6'0.5"" (6'2.5"" wingspan)",Chester High School,"Chester, PA",10.95,"33.5""",36.0,Jameer Nelson,USA,,,,,2.0,PG,Saint Joseph's,.373,21.9,5.0,Senior,,"7'11""",3.0,Jameer Nelson 2004 Draft Profile | Tankathon,3.0,.584,https://tankathon.com/players/jameer-nelson,,199 lbs,"6'2.5""",
3.2,.340,.100,0.6-1.8,0.7,0.24,0.15,"Feb 6, 1985",1.2,,,19.35 yrs,14th,2004,,.069,.461,.444,8.0-18.1,.742,.460,6.2-8.3,29,"6'9.5"" (7'0.5"" wingspan)",Hopkins High School,"Minnetonka, MN",11.33,"36.0""",36.0,Kris Humphries,USA,,,.073,,2.4,PF,Minnesota,.334,22.9,10.7,Freshman,,"8'10.5""",1.0,Kris Humphries 2004 Draft Profile | Tankathon,3.0,.518,https://tankathon.com/players/kris-humphries,34.6,238 lbs,"7'0.5""",.141
3.28,.396,.535,2.2-5.6,2.9,1.40,0.93,"Mar 17, 1982",0.4,,,22.25 yrs,59th,2004,,.045,.530,.424,4.5-10.6,.683,.380,2.7-4.0,29,"6'1.75"" (6'10"" wingspan)",Statesboro High School,"Statesboro, GA",11.15,"32.5""",36.0,Rashad Wright,USA,,,.082,,1.8,PG,Georgia,.355,13.9,2.8,Senior,,"8'2.5""",1.8,Rashad Wright 2004 Draft Profile | Tankathon,2.1,.559,https://tankathon.com/players/rashad-wright,20.9,190 lbs,"6'10""",.126
3.34,,.000,0.0-0.0,2.7,0.84,0.81,"Apr 15, 1980",3.8,,,24.17 yrs,56th,2004,,.135,.446,.446,3.4-7.7,.768,.446,2.6-3.4,29,"6'11"" (7'4"" wingspan)",Notre Dame Preparatory School,"Syracuse, NY",11.64,"31.5""",36.0,Marcus Douthit,USA,,,.028,,3.6,PF,Providence,.327,9.5,7.1,Senior,,"9'3.5""",1.9,Marcus Douthit 2004 Draft Profile | Tankathon,3.2,.509,https://tankathon.com/players/marcus-douthit,17.7,223 lbs,"7'4""",.167
